"","z_score_sp_NODF","z_score_links_NODF","z_score_sp_mod","z_score_links_mod"
"general core",-12.6104379585799,-7.68431696212573,14.642262217452,3.18597922697975
"pollination core",-4.16433619129631,-6.34887316985232,1.57622082627684,2.8153486662583
"ant core",-3.05159036190827,-3.82431112720777,0.0332303507350016,0.297763046602101
"dispersal core",0.291458446539667,-5.18519552265662,-3.800723232357,-1.50732260381834
