"","h2","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.656809274695044,0.646563487359898,0.885301331980746,0.319280950316042,0.72877220981992,0.928588137960908,0.416314188946981
"2",0.65668361988494,0.640625520528883,0.884857364552117,0.319445955390073,0.719685102261619,0.92500035687322,0.409193608937275
"3",0.656822132448003,0.651611634556986,0.880798915736062,0.316716502799102,0.722573792019751,0.924657367237373,0.409250848095875
"4",0.658362518581843,0.646396921757662,0.884359876365973,0.319900653720222,0.722053870151293,0.920637294515094,0.407655715790987
"5",0.655803124522581,0.6453971947852,0.881752823340669,0.317347213454088,0.725245589824555,0.927813362315767,0.404009907113678
"6",0.657361930118572,0.644647251785126,0.882361579893091,0.316080328441564,0.719972036498776,0.928559938262857,0.410703402774419
"7",0.656643828934118,0.644480404967906,0.88266341546721,0.315788623597484,0.722598886695434,0.931693657970845,0.414149673306775
"8",0.656574960804728,0.649767639224176,0.883136625988719,0.314401204664434,0.723532511470489,0.932206483559469,0.413580182345999
"9",0.656973873847608,0.645106387399456,0.881056337194521,0.314800607420706,0.721157218300699,0.930638723094211,0.41104505485522
"10",0.656692881113937,0.651211884496016,0.884514741672569,0.318872128054827,0.730851146911461,0.928274955178957,0.421897033237181
"11",0.657135780670526,0.643718317522155,0.885055864809276,0.317823159155961,0.728891442718333,0.928986704890119,0.415773244143306
"12",0.6570210448042,0.645643481007793,0.879759430634634,0.318472631022136,0.726968414450275,0.929414218261969,0.409763310611189
"13",0.656513039433539,0.647291325419864,0.882238822192548,0.321333437028421,0.724495517443537,0.928146373161728,0.410221918009356
"14",0.655667449956445,0.647806276048315,0.882538467623562,0.317447370327422,0.724744685660878,0.928105173732351,0.41776711248975
"15",0.656578304038442,0.645441230822455,0.8808707709561,0.318232659842936,0.715885679163475,0.927877057700398,0.41070333389182
"16",0.656721828017,0.6466334751564,0.882794587696979,0.321362865092571,0.734473381107446,0.929842393855371,0.413580159879976
"17",0.656699858732658,0.650879270161861,0.881000843306686,0.318956523393627,0.72620715428261,0.924359049804322,0.400449639639103
"18",0.656148740669524,0.647150404970759,0.8835214037145,0.312714807766296,0.725426340920827,0.931465036673239,0.409192707081876
"19",0.657205090871209,0.64770295789578,0.8832482139525,0.31814926431314,0.72823054004071,0.926167290730637,0.41266151061022
