"","core_links_removed","z_score","p_value"
"h2",0.665755521559855,3.43967361235241,0
"r_p_random",0.650006585282863,0.526125112821555,0.67
"r_p_lm",0.887476116233242,0.2003414735171,0.55
"r_p_ml",0.31493240786583,0.0155377916148147,0.43
"r_a_random",0.724098027735279,-0.0359410973894889,0.49
"r_a_lm",0.931068787256062,-0.955093972961056,0.19
"r_a_ml",0.414349449940727,0.799720348845447,0.73
