"","h2","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.663574286557518,0.638195436447569,0.872820816031385,0.311874463266574,0.718305793073744,0.920984457580043,0.415972668461984
"2",0.665569765715997,0.642433172492576,0.878573321860008,0.310804636731213,0.713337196931635,0.928652054938651,0.400967008451129
"3",0.666321374979087,0.639408615181612,0.877261584866289,0.311274569539355,0.716428722715974,0.925034793707163,0.414064592921678
"4",0.662406550792023,0.636745329734175,0.874874157493,0.309924277710818,0.720168846182695,0.918198914287482,0.410878602977388
"5",0.66683868584947,0.63536599362997,0.874722951504994,0.313430771658996,0.711176145206456,0.926807770371463,0.407290425477932
"6",0.665081595439146,0.644442639023831,0.875240812829388,0.317505771024678,0.71570810625883,0.918148036275959,0.404778817842084
"7",0.664605492210398,0.63484246283454,0.874192034067434,0.310061563696335,0.727998187267102,0.92990935558132,0.391595811341416
"8",0.666076877246569,0.638663742119047,0.873976736323698,0.310892124744572,0.719360923593308,0.92575274048806,0.411102320323538
"9",0.665507219348977,0.638171175069596,0.878996750283838,0.310230722857348,0.71715145799345,0.915867247869945,0.399457237247649
"10",0.669712037621168,0.638433446646701,0.877945495606059,0.318153792783551,0.724266796255383,0.920831168543757,0.402800891318812
"11",0.665556526857198,0.633213167095917,0.878514588597053,0.31042507144645,0.715098849781228,0.923473892201929,0.398517593592433
"12",0.667246986754972,0.633493680516018,0.877315344005578,0.308119721902965,0.713037488910161,0.915777759051458,0.405044831889756
"13",0.663763590024849,0.627879797244251,0.873527298599624,0.309314074245036,0.712489963204107,0.925235265079855,0.39857422116312
"14",0.664855019347361,0.638165796925996,0.873098440274764,0.310812836226922,0.721202497631912,0.933317260450028,0.401707566973195
"15",0.663415890528243,0.639432222636864,0.86834820666777,0.312330572917218,0.713125364737067,0.917378914532954,0.407033870426001
"16",0.66699856248353,0.635048991230277,0.881185716782503,0.30842787092811,0.711688881815003,0.926196325648937,0.392455291391074
"17",0.666187618931103,0.64042637910034,0.875016578986615,0.315095572510352,0.711167131026402,0.929532232998958,0.408457922381551
"18",0.66410995337886,0.632059948800465,0.873588839469315,0.308171103551662,0.723275390500846,0.930101621260834,0.402391008503228
"19",0.665583612752889,0.628253182084425,0.87665558776859,0.313432784701058,0.72734564710419,0.926920578129959,0.400266909003424
"20",0.665264232351344,0.639172718250165,0.879408071424048,0.307255594770836,0.719554665782956,0.924549519227954,0.397459145398867
"21",0.665684953266526,0.643732535082474,0.869866139125179,0.314668807373517,0.72552045711649,0.927224438473682,0.416598976059519
"22",0.664937173576696,0.643335383428041,0.877376955109082,0.315209115095205,0.712520435738107,0.916290406248742,0.420216685699168
"23",0.664296172086522,0.637824773375117,0.878714744476326,0.310283966647042,0.714423860296567,0.927968595895849,0.400962351249931
"24",0.662060548463648,0.639021185436758,0.872392463715911,0.312048367511328,0.718002541696231,0.913758823977295,0.407859521033927
"25",0.665563258044781,0.639684215159849,0.879914081637878,0.314333539842938,0.713063759042764,0.916575323254,0.410594199187356
"26",0.665149959047815,0.634638471762961,0.876152666647188,0.310535641093728,0.718798427064626,0.914571358210735,0.414012108180244
"27",0.664033985002905,0.641734394380359,0.883187249017159,0.307474122466052,0.719473623063344,0.929899338542629,0.402675957624277
"28",0.667228504950537,0.632132594919017,0.878083797251886,0.310266539019641,0.724416872541426,0.926956170218222,0.412327343611103
"29",0.662569199081683,0.636649694424331,0.87904421576846,0.307188830020994,0.723922744497541,0.928024877714627,0.403383093454564
"30",0.665484462055137,0.636897519063355,0.873169566125751,0.313081032932126,0.730422951848988,0.921399021584109,0.399736708140599
"31",0.668344655966658,0.640781489389602,0.875800776772294,0.315972302493323,0.719614435947977,0.917543639330207,0.403810744212256
"32",0.669611596462946,0.647651603245642,0.880275878784186,0.312343660918635,0.717202215337803,0.923714754966545,0.41076061402022
"33",0.666398334569063,0.645780482373786,0.877228990058018,0.312941782006661,0.722761883599832,0.917889464148885,0.406004121406756
"34",0.668078452484314,0.634176056585894,0.882725783774345,0.311825476628253,0.729917355460977,0.928285756312697,0.402704358054737
"35",0.666760538358981,0.643462635805508,0.878094877713936,0.309844158503379,0.708258867934539,0.910915082539075,0.39808483384696
"36",0.667485242796257,0.644400971471589,0.876554076807774,0.314537624154973,0.720594839788922,0.925611196152178,0.409079950206114
"37",0.668848905494496,0.635774066204598,0.879838976621116,0.312210555596441,0.715020409536807,0.924704560925507,0.411080005592383
"38",0.664598113051743,0.633344931416441,0.871887079925297,0.315819823879796,0.721881167637536,0.926712380065598,0.404270687551925
"39",0.668248344417201,0.643831917156134,0.883223102074955,0.31203092566005,0.706024429042185,0.925300853004257,0.411388820066797
"40",0.665089714665713,0.635739595583501,0.880908698795098,0.309514131981239,0.715925058447455,0.921595328250172,0.404522566985285
"41",0.666977376983951,0.64040331705169,0.878768546118829,0.310356472067291,0.711301155483196,0.93153497437533,0.398598084763923
"42",0.664419225437178,0.638761497196015,0.873557725772167,0.308073820783583,0.720577853359527,0.929282865388259,0.409877674045304
"43",0.663353795419729,0.642348299965187,0.883080295991196,0.30675733983184,0.713281307817428,0.928025481013052,0.403326293478471
"44",0.663457498089775,0.640781208618432,0.878689232879621,0.30317351167007,0.714749707617352,0.918860263219364,0.396751809240623
"45",0.664891436812379,0.637515357223467,0.875322758298557,0.314408549555454,0.713472201699175,0.918322307648674,0.402622093737263
"46",0.665983225775003,0.63128756659077,0.870294923645629,0.311129063247476,0.712253845699192,0.925145675400927,0.402500495021256
"47",0.664836554571126,0.63649848781392,0.872514777065135,0.315975219011281,0.717209285723705,0.924329795445353,0.409080123190806
"48",0.664438158784709,0.644646588726965,0.878216060727612,0.312886453044842,0.726544072400894,0.922895552437764,0.412121042093715
"49",0.663438849134797,0.633155783968823,0.878262417838087,0.312604726133925,0.717084446256147,0.924036899050367,0.397914808677117
"50",0.665672800188896,0.63734244411992,0.867711192648234,0.314036891403218,0.713927432017739,0.91643753254499,0.414121457758948
"51",0.662943486894148,0.638701584912142,0.8755806479627,0.301875054309134,0.712500018755069,0.929539086453988,0.403582695063705
"52",0.66708407200407,0.635323930565271,0.87917437528919,0.312628194933596,0.719048548960723,0.928516679765341,0.401702960441403
"53",0.664667394027074,0.638661631133913,0.870533992836122,0.314225633154669,0.724173843767201,0.927483044921412,0.412441189667153
"54",0.667378322853657,0.643154779164529,0.877798096216343,0.31280749983597,0.723812559842553,0.92772226460265,0.400510941635488
"55",0.66412017706378,0.632988239139436,0.873996645082174,0.314362287133962,0.722288567949308,0.925547533667881,0.3989103376734
