"","h2","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.661307007985838,0.649135046943935,0.885396013137827,0.314448560823326,0.726247663356493,0.929261920163673,0.406939937142318
"2",0.662302185710618,0.644546629397005,0.885548640971119,0.316202222519933,0.722149605948607,0.935727613001303,0.407126252264526
"3",0.661651538906428,0.65347416708128,0.886589596039955,0.312755080648773,0.716726585593771,0.931144047225593,0.408921662058802
"4",0.662701247684421,0.650390977292069,0.887638471720279,0.314832874253436,0.730581749414206,0.937494735435904,0.405587818959831
"5",0.663480197747825,0.643770221651337,0.884817545582418,0.318025419503273,0.72581662883963,0.93276723281434,0.415517333498751
"6",0.66243508662552,0.648040542333036,0.889351184557181,0.31571828599169,0.718095950983517,0.93102540872837,0.412156795346351
"7",0.660639837998506,0.640590504033401,0.885481260043184,0.314050147874293,0.727952872683021,0.931008844724406,0.406677993214235
"8",0.662558279638726,0.645206672711485,0.885990923488241,0.315957501563766,0.729347969664656,0.933530123316491,0.40992138338411
"9",0.662471731186421,0.650511000175824,0.889117416291142,0.313837423918197,0.723049258523587,0.931385368010817,0.407675701769076
"10",0.663418069006428,0.64669297475817,0.885809046032715,0.314961172562162,0.725154503847834,0.934622804679419,0.418077245613939
"11",0.662637988295533,0.649957290473822,0.889177367697603,0.312133722733233,0.730565062172988,0.9310588417242,0.407723222554758
"12",0.664567532328848,0.650034299205487,0.887575616264112,0.312784775122864,0.72617621736415,0.934930884825294,0.404568621324997
"13",0.662024458481545,0.648305235533802,0.887580771316269,0.315945059373681,0.72022972986644,0.932624291730196,0.413734178160477
"14",0.662895939624849,0.650297781948887,0.887709772751221,0.315673512689698,0.718749501522329,0.934017262253805,0.415799928625647
"15",0.662440094319378,0.649219384652446,0.885643298996843,0.31570029130426,0.718171715050462,0.935781961720475,0.416001026617628
"16",0.662186248806029,0.646768862803364,0.889944310792242,0.317084414265753,0.727585980808037,0.930112934319008,0.414359806560322
"17",0.663000798829291,0.655006612656456,0.887466202583541,0.315633121914387,0.723969283038412,0.930722035655472,0.410885031130885
"18",0.661945680476334,0.648041601813863,0.887015577802829,0.317637908042825,0.722443898293932,0.932030547102428,0.405815059476696
"19",0.66463946484108,0.644868345168149,0.885350981577289,0.314349028560322,0.723456600610926,0.931389914642152,0.412337652176902
"20",0.662533995044537,0.651424753851045,0.886481310697573,0.31450026268582,0.722694255474698,0.933597785028435,0.415648752326699
"21",0.661753449208113,0.64560138993141,0.887295337534807,0.313014958322382,0.722547498185682,0.933110353243446,0.402886186778628
"22",0.663881310208095,0.64419569180476,0.887489899630944,0.317258010939809,0.723921436510199,0.935412497868158,0.412174340827843
"23",0.660972960885103,0.647491635129963,0.884875402419374,0.313354135310671,0.731057743284908,0.930998207567927,0.412782607112541
