"","core_links_removed","z_score","p_value"
"h2",0.67587160657308,6.47755899677735,0
"r_p_random",0.64282422041644,1.20716622147386,0.85
"r_p_lm",0.870310787635127,-1.78396564889356,0.06
"r_p_ml",0.321704468703342,2.95919905135695,1
"r_a_random",0.732546434297172,2.88603626269922,1
"r_a_lm",0.92062688653634,-0.431265978252382,0.33
"r_a_ml",0.416200710139339,1.67724058508324,0.97
