"","h2","k","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.664647722115932,1.87790697674419,0.578496772932596,0.789876911795027,0.292921954137862,0.658959630756097,0.810156394532236,0.385788535337697
"2",0.645295378196576,1.94017094017094,0.609350866242729,0.846285670299592,0.300365753730861,0.69017001797658,0.879754017565637,0.394282344264152
"3",0.654980104385365,1.841642228739,0.573130811061011,0.790870715874976,0.299232955246233,0.654016502012784,0.827211056925698,0.384202932742923
"4",0.657031435290947,1.85511363636364,0.616823293041887,0.844922077856287,0.298448254167478,0.68398177810113,0.888364391587719,0.392978638172786
"5",0.653260487510247,1.8735632183908,0.605554084231282,0.843158816087955,0.284353848604687,0.671321182416476,0.874418030995003,0.367325115751179
"6",0.660592367065124,1.87743732590529,0.638463448897361,0.87353397498403,0.31084450060998,0.704074141057558,0.919178255065793,0.403679149322949
"7",0.649632715259504,1.90855457227139,0.577186242599859,0.79983348125532,0.288245305745704,0.64492026727258,0.831117382589285,0.368927157897952
"8",0.658050443957357,1.83714285714286,0.60784351159011,0.823283136692251,0.307049964053814,0.694583949639936,0.867719704159909,0.388254812735986
"9",0.650284001570334,1.92045454545455,0.624786775178365,0.844785866417378,0.311510103265504,0.705278483844096,0.893280162564455,0.389444241845917
"10",0.650909699101918,1.90229885057471,0.599247943218531,0.821505690638346,0.299146895548574,0.677536959444635,0.866522759012522,0.392110778812152
"11",0.644614349716563,1.94460641399417,0.586932370440386,0.81000752313726,0.285151587861061,0.656129378017653,0.855468784855412,0.367530061900643
"12",0.656032949083263,1.87359550561798,0.622652660159569,0.854356157561355,0.309894662874707,0.701454375420061,0.897274093406202,0.395352384043234
"13",0.651402786873691,1.8695652173913,0.594020401765456,0.815305229915546,0.295652832063222,0.663561198968171,0.848138262477346,0.38100279203816
"14",0.652558755037078,1.87390029325513,0.580478165529406,0.793962463387258,0.292920693627865,0.653475495410832,0.830651502733501,0.388092108656088
"15",0.654413721459229,1.85057471264368,0.592386304364582,0.819362480100031,0.29510292032407,0.681161355817015,0.855934369978712,0.385942484197056
"16",0.663803390578071,1.88218390804598,0.581762103131285,0.793938397324123,0.310184143779693,0.669525459528738,0.825614714295558,0.399138371866842
"17",0.655769080105483,1.86285714285714,0.60810760705102,0.836229429401487,0.297476050418179,0.681705410679524,0.875764785480226,0.381082804327006
"18",0.646287639247311,1.89149560117302,0.570114770185957,0.790554808680831,0.29416714779262,0.652552182849787,0.83179853091166,0.372677763615415
"19",0.658940850625729,1.86931818181818,0.612043651632538,0.827805700975256,0.309295337694362,0.692479013372249,0.878074986648034,0.404992739584724
"20",0.648764549711218,1.9156976744186,0.594377487287284,0.817636037558305,0.291589479014485,0.661634192947205,0.856466120719261,0.368655337353265
"21",0.671332288051063,1.82985074626866,0.556728325509978,0.757795985553459,0.290582313735647,0.621649375789446,0.781050530168998,0.376494072179936
"22",0.664008653214071,1.86217008797654,0.566150006217568,0.767968226851211,0.298356089313167,0.64080729680554,0.795516889091976,0.385738509898823
"23",0.660636524143159,1.79885057471264,0.596408709443237,0.825447645723543,0.298853473647335,0.671185111136288,0.867121092439975,0.378054683608782
"24",0.655902745198344,1.84375,0.605139617704443,0.830541409259868,0.311681501533119,0.688976796357842,0.879122357069053,0.390818121591098
"25",0.657500235179199,1.83667621776504,0.604129609898952,0.822864796742214,0.295094112613383,0.674268518872029,0.870678118017303,0.387288960793238
"26",0.660324735968348,1.82758620689655,0.603355810019273,0.821686699993021,0.302999782084981,0.670486193025303,0.868783329927999,0.386685100387329
"27",0.655329823803463,1.89204545454545,0.61386002056572,0.847473940111998,0.300224300821235,0.689254885462212,0.898770139056199,0.377841959912822
"28",0.664887478800729,1.86376811594203,0.574058822043711,0.784339670856559,0.300257014438328,0.654842324058676,0.806083678846721,0.398205469342031
"29",0.651095653964291,1.87068965517241,0.594581349135562,0.83300508258226,0.291029384572007,0.669339588512928,0.855367350380836,0.377227123258021
"30",0.65036508624148,1.9327731092437,0.622632881843791,0.859145615366725,0.315224966232269,0.71890274220686,0.906135007482272,0.413359780983053
"31",0.659810565652884,1.85552407932011,0.61300929392708,0.845524851769375,0.307498261269843,0.689760777380629,0.881449406067653,0.384752338693909
"32",0.648445102598007,1.87352941176471,0.585738836712134,0.800903320035459,0.282959855760098,0.646283498637166,0.834490032009331,0.361376135215353
"33",0.652350617522582,1.93055555555556,0.633876597019506,0.87339738264189,0.32483210514238,0.718282896420518,0.908478916213908,0.420918319721224
"34",0.658413221385501,1.8377581120944,0.581945139929999,0.779867784173072,0.29362480598842,0.647895532278217,0.831611097503937,0.370041661339111
"35",0.649785232736039,1.87755102040816,0.587993445461798,0.808892354113203,0.283850903100415,0.654257833959078,0.841655472118969,0.364356950788802
"36",0.651804660781958,1.88135593220339,0.626762243915276,0.846852830659962,0.315528605020744,0.703989581883113,0.893883063004365,0.399323068189469
"37",0.658914446352225,1.82456140350877,0.581047029249398,0.805979891635836,0.285908570739045,0.650377346206678,0.838547268021262,0.36566828335794
"38",0.649748413958353,1.88728323699422,0.591441310582679,0.821539565039297,0.284191828234139,0.665507566737178,0.866123936274265,0.360261940382972
"39",0.661050619547799,1.82507288629738,0.594637419566722,0.810797823328726,0.285459436644784,0.655928427452676,0.849762751773723,0.369681106591199
"40",0.640462840864694,1.94705882352941,0.587594805857294,0.813928913353178,0.287286936901106,0.659710048388498,0.844298652294733,0.36207954914799
"41",0.652983706912799,1.81481481481481,0.601985786586908,0.834928159612982,0.287181248591989,0.681305375621442,0.881216743857594,0.371597519000039
"42",0.652839990223327,1.92,0.626111260628953,0.850018551788354,0.294800723999128,0.6908679951699,0.892087781900206,0.373199913173903
"43",0.661978994462143,1.80938416422287,0.584030338639676,0.794714615917492,0.286449191953077,0.652561335034268,0.848387542344132,0.369248176507639
