"","core_sp_removed","z_score","p_value"
"h2",0.650336587900187,-1.29493806999373,0.93
"k",1.86350974930362,-2.36579464616185,0.03
"r_p_random",0.637702382294233,-2.50974321798464,0
"r_p_lm",0.85848819844738,-8.05117932669391,0
"r_p_ml",0.32797746815317,2.40145322874972,0.99
"r_a_random",0.733373223960123,1.71242143788934,0.97
"r_a_lm",0.907351980109517,-5.43424987574566,0
"r_a_ml",0.420496304728453,2.13411579352703,0.99
