"","core_sp_removed","z_score","p_value"
"h2",0.706374193443453,5.54785600612172,0
"k",1.65096952908587,-4.44223044907603,0
"r_p_random",0.639871355259121,-0.98208552116278,0.18
"r_p_lm",0.884158252357472,-0.0675806016207599,0.38
"r_p_ml",0.302889019457666,-1.78273454617812,0.04
"r_a_random",0.707102352412142,-2.40821386355122,0.03
"r_a_lm",0.93245407906287,0.238174830481861,0.57
"r_a_ml",0.431958691656321,2.59337824786169,1
