"","core_sp_removed","z_score","p_value"
"h2",0.676165067601436,3.39191774936799,0
"k",1.58759124087591,-6.89141184996069,0
"r_p_random",0.362409093258511,-11.5297020010001,0
"r_p_lm",0.452836151839372,-12.9888038905755,0
"r_p_ml",0.223733282353673,-7.29203460882723,0
"r_a_random",0.417813683657044,-11.0205899878527,0
"r_a_lm",0.483810015747504,-11.5852381137066,0
"r_a_ml",0.27844408513465,-6.90876825923144,0
