"","h2","k","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.65036302877252,1.84730538922156,0.642290498757263,0.890657991823354,0.306604476746158,0.715926326070573,0.929726408146955,0.39824692595009
"2",0.647763359041276,1.90615835777126,0.648950473381758,0.883736040677705,0.319027598015344,0.718625855155216,0.931999456219187,0.409794142055226
"3",0.657624488112707,1.79166666666667,0.624313622484208,0.874262427693458,0.320980083389929,0.720253104084875,0.924630528603167,0.400299473700738
"4",0.659844590142577,1.82831325301205,0.649008972742242,0.880491998356886,0.326566487202494,0.72270624263411,0.92087093365492,0.407551027431994
"5",0.67554987276752,1.77101449275362,0.639221339408494,0.885340774620622,0.312387049911764,0.709635518832936,0.923208095784224,0.410149241938765
"6",0.658480955461504,1.84057971014493,0.647581337087961,0.891714274178419,0.311311342419753,0.719518460453933,0.931495708032811,0.403649116562082
"7",0.657363817955503,1.82822085889571,0.63874827040104,0.8904321376052,0.32656422605534,0.724275311253761,0.925802993323215,0.423843412881848
"8",0.659112893511404,1.85373134328358,0.65155025719171,0.879235489632829,0.332830345353033,0.71631000910998,0.919120857374035,0.425835411988651
"9",0.691515213443645,1.71739130434783,0.639574138482451,0.875894964746091,0.335212892693208,0.720598591761029,0.914529730239762,0.453028015937775
"10",0.65171647320586,1.80615384615385,0.646343543953119,0.890064481854907,0.314756828433596,0.714162268284723,0.935267742040909,0.390720822998996
"11",0.681623462158867,1.73088685015291,0.641773975552284,0.871616300967311,0.324984612155845,0.721898868362373,0.908651696375685,0.428832825706095
"12",0.662389452599952,1.74698795180723,0.630025632038743,0.872777441682268,0.303194007779407,0.716453810647996,0.920217241183066,0.408794219155689
"13",0.665505892552548,1.7737003058104,0.645619413755445,0.881629722103189,0.33152006440168,0.717503471576965,0.91328159145437,0.414285161088127
"14",0.674272948346506,1.6687306501548,0.628649382652804,0.861702422158138,0.324456252458244,0.702823314973152,0.90137578390106,0.409520307889769
"15",0.670003704275518,1.78443113772455,0.635615490309068,0.869387084439307,0.322997199768257,0.733830154617918,0.936737675355182,0.40214695297416
"16",0.652318799434163,1.88563049853372,0.644265886406653,0.888890596500193,0.308650030974949,0.70600242345964,0.920227400922562,0.394373309031807
"17",0.675773641730237,1.71556886227545,0.636756651893179,0.875404627071614,0.321325608471108,0.725223656236981,0.931430516653877,0.420781784884685
"18",0.655994537323274,1.83382789317507,0.648540279352147,0.896146707822716,0.304736630053609,0.725477022838045,0.932306062133221,0.392212140984805
"19",0.67171904378723,1.75757575757576,0.63460041673595,0.863171375902824,0.328900760869048,0.729696866261286,0.893218698735489,0.416588741020663
