"","h2","k","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.65036302877252,1.84730538922156,0.604592716941624,0.825104123826526,0.283397858486276,0.665186666460184,0.860700410748211,0.362449902159867
"2",0.647763359041276,1.90615835777126,0.618966395009034,0.851156468369731,0.303476403629187,0.690209098383903,0.89027636230332,0.3936739419485
"3",0.657624488112707,1.79166666666667,0.592344095904648,0.8160793677617,0.294628753434017,0.661303337089786,0.862121691998249,0.381659097778091
"4",0.659844590142577,1.82831325301205,0.58385856576443,0.804671128229188,0.295039294410112,0.651676681446731,0.838709629789346,0.376048910289018
"5",0.67554987276752,1.77101449275362,0.626594650510317,0.865544230274358,0.300015248353898,0.692291391194803,0.903599908943757,0.395212613406426
"6",0.658480955461504,1.84057971014493,0.624791749886811,0.870085433147269,0.300008107916793,0.694909648737869,0.907081406817704,0.399742491054646
"7",0.657363817955503,1.82822085889571,0.572550603050648,0.792188234838444,0.28528678855811,0.639245944690999,0.820502388564084,0.371975428799638
"8",0.659112893511404,1.85373134328358,0.60446747694201,0.823425680798574,0.308680210759165,0.675559426406161,0.860682486682536,0.395127149904153
"9",0.691515213443645,1.71739130434783,0.537230082235684,0.738809305992503,0.280202245961956,0.607283682299243,0.767798933428831,0.368627802040327
"10",0.65171647320586,1.80615384615385,0.560016561361876,0.786735077494843,0.273176362748673,0.630099954615539,0.822775917009053,0.341781644507436
"11",0.681623462158867,1.73088685015291,0.56051793801521,0.764015608717846,0.281911138974949,0.625305902239989,0.795231005949453,0.370755648067941
"12",0.662389452599952,1.74698795180723,0.564324945686121,0.791707903198601,0.274260699619859,0.644602108518532,0.832386054040324,0.374157938424861
"13",0.665505892552548,1.7737003058104,0.572608932714235,0.793054178724427,0.294487631454005,0.641920660369738,0.818192949686376,0.377437366104196
"14",0.674272948346506,1.6687306501548,0.549517014798435,0.760942666356039,0.283817657261908,0.612589301790219,0.792578680605658,0.361198505139151
"15",0.670003704275518,1.78443113772455,0.587903160530406,0.807513064481458,0.296932428284503,0.6682349803954,0.86602999714933,0.379071304143991
"16",0.652318799434163,1.88563049853372,0.624566831472548,0.856961788979639,0.293570547538153,0.682023676153189,0.887647433841122,0.381648659632024
"17",0.675773641730237,1.71556886227545,0.587237250139066,0.816381458473118,0.294236243962882,0.66289556735274,0.865407974987626,0.38089644571248
"18",0.655994537323274,1.83382789317507,0.594360490555484,0.840641075773238,0.284609482485613,0.67246131033491,0.87317069122853,0.364098609386878
"19",0.67171904378723,1.75757575757576,0.558754997109625,0.769056232780718,0.291232974422906,0.640193925104718,0.799452834063557,0.382705104953004
"20",0.661022516002482,1.79518072289157,0.585986866490299,0.816379036521452,0.294148885331254,0.660517958531606,0.854163789269151,0.367782246419811
"21",0.67632505126624,1.71681415929204,0.596278342310186,0.840078721852117,0.286898089953824,0.66665520549319,0.864253172158261,0.366144401152034
"22",0.665280002775971,1.82840236686391,0.610527516714866,0.837641537897099,0.30278252692492,0.670599955305296,0.882087505463578,0.390509233400187
"23",0.670053671591284,1.73088685015291,0.565128149365701,0.782466245255468,0.277615283137563,0.625391167264645,0.817269340542004,0.345044732364776
"24",0.674451227991403,1.81492537313433,0.598938215239907,0.811284478004655,0.302734388460282,0.659792755641872,0.839828627122532,0.401586657207342
"25",0.653389193827755,1.84012539184953,0.55678941547765,0.752411575079852,0.277557633438239,0.610229525598421,0.783483656218655,0.338000530982298
"26",0.676192779813999,1.77380952380952,0.579684745016691,0.802739133353324,0.281199882251552,0.654590032608459,0.845619276478407,0.379064305035089
"27",0.665553617769619,1.79827089337176,0.628601685489216,0.864130958315422,0.30598199515183,0.708991717325646,0.913631983111957,0.416916461892354
"28",0.653697859513187,1.83636363636364,0.585900881718883,0.802808502979887,0.284292747728778,0.654910223470369,0.834375532859691,0.368857073952071
"29",0.647527159278392,1.81899109792285,0.598276214493448,0.838484801309874,0.281769119983128,0.677488209698902,0.874822509752353,0.363944085689344
"30",0.660174784395619,1.77710843373494,0.583521807095462,0.799075611163385,0.294035908561058,0.652497639365903,0.834517585967823,0.370298522855499
"31",0.650413815883888,1.83577712609971,0.607824963573749,0.829725988502623,0.3094283652977,0.691620482146197,0.891865246429636,0.405456942506056
"32",0.661948287316614,1.77160493827161,0.562441353258796,0.764115041441594,0.2891864025346,0.628151756623732,0.810483796061278,0.362878361369463
"33",0.669524617955416,1.72455089820359,0.584150404417386,0.812304556195714,0.28599889792569,0.658459688427716,0.86285042887756,0.374917658132929
"34",0.661460646169707,1.79821958456973,0.590059084424248,0.824790451588277,0.297417616009348,0.673147019955082,0.85812494046763,0.38601110775168
"35",0.651945975739085,1.86904761904762,0.594254611866486,0.818796868142366,0.301395705158693,0.676562813943857,0.863738310818885,0.391365999908334
"36",0.64203983231363,1.95906432748538,0.614829566460744,0.856597825440623,0.308369965378167,0.694938813688616,0.896617918967461,0.396746235460519
"37",0.652940595582134,1.85250737463127,0.609617582675248,0.838427222740463,0.29603554055239,0.677184284636212,0.870417183054468,0.393176999439748
"38",0.672635422913636,1.71216617210682,0.58444936699277,0.811591056862647,0.299969342510306,0.666773733727391,0.860487444501986,0.387006474598824
"39",0.668565734353076,1.76991150442478,0.603222463622629,0.844514316114433,0.297499818378864,0.683034930006593,0.87937002373308,0.3888784054267
"40",0.659773758070619,1.83185840707965,0.61561426564132,0.845833785834642,0.293920130735904,0.68217406185268,0.887983505678047,0.393058481506436
"41",0.657187164611544,1.86350148367953,0.604993594032028,0.823516533491353,0.308581399240509,0.684246799369356,0.868303120066576,0.399573401990083
"42",0.665501235063594,1.75903614457831,0.577818019069985,0.789580445615589,0.292484566300573,0.662876777369719,0.843434610429983,0.375253599737541
"43",0.658077524867856,1.82035928143713,0.589930636950821,0.825296555769328,0.295159302668722,0.669238889714588,0.86556611672242,0.371591339717887
"44",0.665285888546598,1.80952380952381,0.57849189160228,0.805759038075537,0.297873980557236,0.668129849765471,0.83499714657452,0.395583320411514
"45",0.661949804623333,1.77544910179641,0.57883391157762,0.820392992037388,0.272728379737417,0.657941276688641,0.865306965369429,0.361762177592686
"46",0.677632185659785,1.70710059171598,0.593864320673758,0.82552072960913,0.29741336844981,0.670301697949807,0.869155773789276,0.395314843679008
"47",0.665870161810428,1.78678678678679,0.590660860659397,0.81152577132613,0.294647593671985,0.659513247080377,0.858977585365146,0.387404376367134
"48",0.665444629130817,1.73475609756098,0.56262519258288,0.793172374946709,0.273203236827248,0.630027691588937,0.815279990988946,0.347992548874814
"49",0.666972954604921,1.80813953488372,0.628156331142274,0.86355855488761,0.301630147016957,0.696516206636623,0.905730334076424,0.400206259341988
"50",0.669511569473674,1.7112462006079,0.558671309929735,0.78443884315264,0.287758821473608,0.640820246525037,0.826240009047182,0.361718971896638
"51",0.664879208223553,1.80851063829787,0.575858269806086,0.808330927960607,0.278699982585593,0.639934053185579,0.834570932729938,0.36498227940064
"52",0.655780816374732,1.8368580060423,0.587296643245971,0.802562047884732,0.29730335188328,0.65637884436117,0.837732878172877,0.370943915182728
"53",0.657576655935759,1.86390532544379,0.622179295909414,0.836073985800721,0.311705872195095,0.678481766979062,0.868125678139695,0.393675923990923
"54",0.664657051003718,1.78678678678679,0.586459467915654,0.80238886085833,0.292397571875,0.667811198328912,0.847573541214515,0.377183705841302
"55",0.667495833248771,1.78571428571429,0.596310396315577,0.818031470807488,0.299912865316644,0.667085370292775,0.856437507005041,0.388651947856612
"56",0.668431213990666,1.79279279279279,0.580801513676787,0.805528984076822,0.284387112429082,0.649059179402636,0.843523545127512,0.385322559623454
"57",0.653976810093184,1.8698224852071,0.61247312670485,0.824939372674209,0.30924871946343,0.677245882049977,0.870577048625087,0.401556482314795
"58",0.648580630464659,1.88690476190476,0.617224277945323,0.835941416273379,0.289305127036367,0.672114848791045,0.864750769039883,0.376093170187679
"59",0.660920557897458,1.69781931464174,0.546428583495782,0.75628866517398,0.26726870539647,0.608251051607958,0.789576604850613,0.339306447878107
"60",0.664783422225234,1.8,0.555984142551837,0.764784925380922,0.29029686374798,0.636470695709811,0.787003987037209,0.399459453967836
"61",0.661000665183558,1.85087719298246,0.614111227516173,0.851573973321566,0.300571473673221,0.69074476825067,0.905321876204856,0.390877906862769
"62",0.661387592540643,1.77409638554217,0.578352875129171,0.803376036313059,0.294179547434439,0.659021045085965,0.838778896362917,0.3788475020905
"63",0.657646557599526,1.85260115606936,0.627690547910618,0.862835320151076,0.317011516543327,0.714538777651821,0.913393198534101,0.396193689838738
"64",0.661284086577586,1.77581120943953,0.602598029285908,0.839700912252451,0.286026149467747,0.67713183656982,0.875744529397903,0.379747679815379
"65",0.668378877617849,1.78034682080925,0.629779498831777,0.865929647707238,0.300827096025929,0.708024242788945,0.911078244823795,0.410783204320976
"66",0.669333943928256,1.73475609756098,0.552563325418079,0.775898769106837,0.278307161293962,0.626850985245788,0.810963427629806,0.366877440881817
"67",0.677011368078955,1.71385542168675,0.574391608695819,0.78749981775791,0.292974878141706,0.657284133682906,0.848958995511933,0.38257451145018
"68",0.660640866434342,1.80118694362018,0.60553474979945,0.83086214376837,0.288302901598624,0.667400434461907,0.861322518760196,0.395196699039451
"69",0.665224661240499,1.75675675675676,0.575692844272491,0.813271064230999,0.28112511343509,0.649677151001903,0.861073164188337,0.375474226812175
"70",0.687861343495524,1.68072289156627,0.570796752186456,0.795204017559146,0.280958005156586,0.642281253719372,0.840539312434123,0.391278346131901
"71",0.655123325173964,1.87164179104478,0.605836432698028,0.81472154219518,0.303305775346277,0.675846649497378,0.86467956966303,0.385317441937046
"72",0.659293211805721,1.8486646884273,0.602322713266551,0.826785700421031,0.297933893862944,0.681001951969417,0.876900803027398,0.402727443448904
"73",0.674537152826464,1.76851851851852,0.537451293989261,0.736641825538192,0.278737113617304,0.611836077191972,0.755203272611063,0.366595547851798
"74",0.667962861150119,1.76595744680851,0.578080379837104,0.793715902043625,0.298454716907386,0.648064205500909,0.826328603356969,0.364082702178587
"75",0.651822950874067,1.8160237388724,0.594864945194435,0.82580944061591,0.295594429885769,0.67446191564683,0.863400698121854,0.377260888120838
"76",0.652329402417564,1.8452380952381,0.586583873892603,0.820963463353568,0.293482440902405,0.675989809008331,0.869316045978359,0.376935732248031
"77",0.660379972589879,1.82647058823529,0.611598852154355,0.840716862017735,0.29691346829101,0.681709909942084,0.879618382274848,0.39708203252111
"78",0.656514663382934,1.80357142857143,0.590631807879432,0.829890942982273,0.280289085458489,0.660895935683532,0.859605203711126,0.379806895561485
"79",0.666672118920014,1.79402985074627,0.59225737586453,0.829350531647347,0.280106385010211,0.647781846303519,0.860025481311861,0.372665236575585
"80",0.666447935155231,1.79289940828402,0.592115229964152,0.827585265482656,0.291026210306508,0.667332382710527,0.862796567309265,0.376188135145701
"81",0.683646315054706,1.77643504531722,0.562659359992714,0.766235649905684,0.295738581685192,0.640430947785612,0.803058883363864,0.404686018072965
"82",0.687145058405542,1.74550898203593,0.575181753219095,0.773039349861078,0.304719494213357,0.652211336705535,0.821426008398985,0.404850879291696
"83",0.661518644252335,1.80654761904762,0.599735270852818,0.833238693323898,0.287419539871447,0.670724650061179,0.876616740862287,0.37584646439463
"84",0.664690013137471,1.81952662721893,0.604092846889907,0.834944386458722,0.290369333627152,0.674698618989885,0.881554675026894,0.384001370946508
"85",0.665304389569877,1.79651162790698,0.620664698238841,0.856934776781716,0.297640144348584,0.703125879476706,0.889459013263045,0.395510648225551
"86",0.67032402439837,1.76435045317221,0.581092874015418,0.808949719081437,0.286784387959151,0.648429050254973,0.847094127994996,0.368659778306224
