"","h2","k","r_p_random","r_p_lm","r_p_ml","r_a_random","r_a_lm","r_a_ml"
"1",0.661087112354335,1.88095238095238,0.647158145154439,0.881662748845675,0.314933185851288,0.733230630608544,0.929592980034172,0.414522894332907
"2",0.662588655531022,1.86772486772487,0.645082432402575,0.882540859148341,0.315513512452245,0.722620140469558,0.928738373881235,0.423706549302862
"3",0.671545134685422,1.8130081300813,0.648974045657178,0.87900798791177,0.312963074298215,0.725749763580522,0.935555435911334,0.408060497055529
"4",0.670529099012763,1.82712765957447,0.64710232284529,0.889746731481254,0.305668269558917,0.714253670634804,0.93487568307087,0.413512608407194
"5",0.668014383971012,1.82933333333333,0.638672137789829,0.891065184092894,0.305702468642008,0.718064755514224,0.931841495642842,0.399742774988603
"6",0.668915486203502,1.844327176781,0.652932202511172,0.88425395573605,0.310616777085649,0.724504528780407,0.927960797655417,0.408548801340436
"7",0.664369936359663,1.85294117647059,0.651438552356148,0.889165261931838,0.310978044937232,0.723067385374107,0.935884385723751,0.411424225450206
"8",0.668958284577906,1.82275132275132,0.644607892358428,0.887618539676921,0.306596421648556,0.720470037778536,0.933298899902213,0.412933970081797
"9",0.678236767890991,1.76075268817204,0.651542359387257,0.884797213982124,0.303250150729208,0.724884866809709,0.935289051757179,0.41350143977238
"10",0.66362240115334,1.85828877005348,0.651351632868035,0.887579463180777,0.310449569137806,0.720786221993285,0.928890025276333,0.414818353692933
"11",0.663405639001414,1.87234042553191,0.647902759221699,0.886781688017844,0.309949862720265,0.722542305063083,0.929560562888829,0.421334170026411
"12",0.683911827685575,1.76737967914438,0.638708556253133,0.889804262499751,0.305970338150238,0.708859689724881,0.932770411193436,0.420917633733727
"13",0.679875026963741,1.77479892761394,0.64497914419919,0.884612603833566,0.30558474182731,0.718827465061231,0.936802931615708,0.417805267423539
"14",0.669935380538034,1.80965147453083,0.639830489705862,0.88384991951356,0.311051031948589,0.726230580765212,0.930672479294602,0.4041755873994
"15",0.664972552925254,1.84450402144772,0.645018361796206,0.891180421736944,0.304826905325768,0.728276652557485,0.931834274508246,0.402663727661759
"16",0.669640053527693,1.82666666666667,0.637993922583722,0.875910425537903,0.319518775749517,0.71961427155835,0.928956677303868,0.420464340021422
"17",0.670302216041139,1.824,0.641687316770403,0.889842089593353,0.309035830408451,0.732973502655198,0.936303696857241,0.413735927682425
"18",0.658626274329799,1.88888888888889,0.639851700451315,0.88229627143271,0.318695609004165,0.72836269899872,0.93108910266703,0.406741651645813
"19",0.687123628673406,1.75,0.639291971640205,0.884828327622152,0.309920127685374,0.712083655879153,0.93163874283059,0.419455752045287
"20",0.677032073566798,1.75871313672922,0.631844574583486,0.872851137995818,0.308069445935136,0.71696331359058,0.929302627737769,0.409644100151681
"21",0.676705527127654,1.78804347826087,0.64052232785874,0.880506172131251,0.310369486393152,0.713586998315163,0.932182120671661,0.410996579647598
"22",0.675244102405823,1.80106100795756,0.650984554646829,0.891408980470112,0.3067682779311,0.723179499423755,0.931847925576545,0.414678462815513
"23",0.676233600693772,1.78666666666667,0.646264567372641,0.891870273097972,0.302191271843752,0.706087227216919,0.935382858808872,0.412189518895942
"24",0.671445770187133,1.81052631578947,0.639238944573324,0.887250912743725,0.305269351319221,0.712598546166231,0.936761215963314,0.415792307993114
"25",0.675420313550953,1.82712765957447,0.641596201799293,0.884967667568813,0.311684992917289,0.723349673447372,0.931090849533679,0.422511276654993
"26",0.674065501327929,1.78975741239892,0.641705067808865,0.88052337507278,0.312378529843602,0.720422356170783,0.9309044234947,0.407793864807037
"27",0.667312909351936,1.82758620689655,0.642011830283183,0.887906181052424,0.30805351388771,0.723943121071837,0.933484073855984,0.406592051502665
"28",0.662717376162621,1.88157894736842,0.643262115119821,0.883536428515656,0.317082612383005,0.730816177137329,0.930108768852562,0.419007810786322
"29",0.679823422510871,1.75135135135135,0.634252504830342,0.872541501992087,0.31481874758296,0.716583109126341,0.93634185501066,0.421939924070833
"30",0.674764111796634,1.78877005347594,0.639231500328556,0.88338125647509,0.310611350385771,0.723331006645308,0.933371662930878,0.417330216731233
