"","core_sp_removed","z_score","p_value"
"h2",0.858923819789714,20.1179243883588,0
"k",1.02040816326531,-14.2741208935977,0
"r_p_random",0.281217232721965,-14.0895848514945,0
"r_p_lm",0.381471371380986,-14.3976750078458,0
"r_p_ml",0.173132010276877,-11.5694042130426,0
"r_a_random",0.330343640390685,-14.2299616551969,0
"r_a_lm",0.401307405160259,-13.6494303497459,0
"r_a_ml",0.243386335379105,-8.80170490761259,0
