"NODF_complete_net","NODF_core_removed","p_value","subnetwork"
6.89223875577787,1.82546779195151,0,"general"
6.89223875577787,5.73822504534448,0,"pollination"
6.89223875577787,6.01250921893331,0,"ant"
6.89223875577787,6.98977412172727,0.54,"dispersal"
